精选,rtp://239.253.254.210:8000
家庭影院,rtp://239.253.254.218:8000
喜剧影院,rtp://239.253.254.220:8000
动作影院,rtp://239.253.254.221:8000
解密,rtp://239.253.254.226:8000
台球,rtp://239.253.254.211:8000
武侠剧场,rtp://239.253.254.212:8000
爱上4K,rtp://239.253.254.102:8000
海看4K,rtp://239.253.254.167:8000
CHC家庭影院(HD),rtp://239.253.254.152:8000
CHC动作电影(HD),rtp://239.253.254.153:8000
CHC高清电影(HD),rtp://239.253.254.154:8000
先锋乒羽,rtp://239.253.254.155:8000
网络棋牌,rtp://239.253.254.156:8000
新动漫,rtp://239.253.254.157:8000
中华美食,rtp://239.253.254.158:8000
金鹰纪实,rtp://239.253.254.103:8000
城市剧场,rtp://239.253.254.201:8000
音乐现场,rtp://239.253.254.202:8000
军旅剧场,rtp://239.253.254.203:8000
足球,rtp://239.253.254.204:8000
古装剧场,rtp://239.253.254.205:8000
军事,rtp://239.253.254.207:8000
地理,rtp://239.253.254.208:8000
高网,rtp://239.253.254.209:8000
美人,rtp://239.253.254.213:8000
鉴赏,rtp://239.253.254.214:8000
国学,rtp://239.253.254.215:8000
星影,rtp://239.253.254.216:8000
早教,rtp://239.253.254.217:8000
好学生,rtp://239.253.254.219:8000
墨宝,rtp://239.253.254.222:8000
光影,rtp://239.253.254.223:8000
戏曲,rtp://239.253.254.224:8000
爱生活,rtp://239.253.254.225:8000
武术,rtp://239.253.254.227:8000
美妆,rtp://239.253.254.228:8000
动画,rtp://239.253.254.229:8000
财富天下,rtp://239.253.254.230:8000
熊猫频道,rtp://239.253.254.237:8000
电竞,rtp://239.253.254.146:8000
IPTV九宫格,rtp://239.253.254.170:8000
CCTV 3,rtp://239.253.254.4:8000
CCTV 5,rtp://239.253.254.6:8000
CCTV 5 (HD),rtp://239.253.254.149:8000
CCTV 5+ (HD),rtp://239.253.254.80:8000
CCTV 6,rtp://239.253.254.7:8000
CCTV 8,rtp://239.253.254.9:8000
山东卫视 (HD),rtp://239.253.254.78:8000
山东齐鲁 (HD),rtp://239.253.254.114:8000
山东生活(HD),rtp://239.253.254.151:8000
山东综艺(HD),rtp://239.253.254.159:8000
山东影视(HD),rtp://239.253.254.160:8000
山东国际,rtp://239.253.254.26:8000
游戏风云,rtp://239.253.254.71:8000
东方财经,rtp://239.253.254.72:8000
劲爆体育,rtp://239.253.254.73:8000
